NÃO com.jasml.helper.Util	public static java.lang.String parseViewableString(java.lang.String) 	ti	B13	5/14
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	clist	B3	15/24
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	clist	B5	12/21
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	clist	B7	11/20
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	clist	B9	10/19
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	clist	B11	9/18
NÃO com.jasml.helper.Util	public static java.lang.String descriptorToString(java.lang.String) 	brackets	B13	4/6
NÃo com.jasml.helper.Util	public static java.lang.String descriptorToString(java.lang.String) 	brackets	B14	2/3
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	attributes	B3	7/8
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	attributes	B5	4/5
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	attributes	B7	3/4
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	attributes	B9	2/3
SIM com.jasml.helper.OpcodeLoader	public void processOpcode(org.w3c.dom.Node) 	attributes	B11	1/2
SIM com.jasml.compiler.Scanner	private static void delComment(char[]) throws com.jasml.compiler.ParsingException	multiLineStarting	B1	32/34
SIM com.jasml.compiler.Scanner	private static void delComment(char[]) throws com.jasml.compiler.ParsingException	multiLineStarting	B2	27/28
SIM com.jasml.compiler.Scanner	private static void delComment(char[]) throws com.jasml.compiler.ParsingException	multiLineStarting	B3	7/8
SIM com.jasml.compiler.Scanner	private static void delComment(char[]) throws com.jasml.compiler.ParsingException	multiLineStarting	B8	5/6
SIM com.jasml.compiler.Scanner	private static void delComment(char[]) throws com.jasml.compiler.ParsingException	multiLineStarting	B10	4/5
SIM com.jasml.compiler.Scanner	private static void delComment(char[]) throws com.jasml.compiler.ParsingException	multiLineStarting	B14	3/4
